1.900808e+01	1	2.143285e-05	3680235706	3.596329e-07	1.240074e-04	725558489	6.020136e-05	
3.154061e+02	1	8.941303e-05	869234806	7.384461e-08	6.020136e-05	3841896594	6.020136e-05	
3.787683e+02	2	7.275549e-05	1516068388	5.718769e-08	6.020136e-05	3800234335	6.020136e-05	3687573659	3.692230e-09	3196256300	4.321561e-09	848448836	4.321561e-09	2211003714	4.321561e-09	
5.171290e+02	1	1.537520e-04	276262414	3.596329e-07	1.240074e-04	3747246174	6.020136e-05	
5.288290e+02	1	7.363023e-05	1119993136	3.596329e-07	1.240074e-04	4126262021	6.020136e-05	
8.108125e+02	0	7.103625e-05	2870037616	3.692230e-08	6.020136e-05	2308721517	6.020136e-05	
8.184035e+02	1	1.220420e-04	276262414	3.965552e-07	1.285671e-04	2455496064	6.020136e-05	
8.915767e+02	1	1.690062e-04	276262414	4.334775e-07	1.328244e-04	905418128	6.020136e-05	
9.092414e+02	1	1.829637e-04	2798701042	3.596329e-07	1.240074e-04	3084497907	6.020136e-05	
1.007383e+03	1	6.528510e-05	4080189872	3.596329e-07	1.240074e-04	3114612365	6.020136e-05	
1.365584e+03	1	1.641909e-04	276262414	4.703998e-07	1.368250e-04	197654791	6.020136e-05	
1.818382e+03	1	1.836111e-04	416783067	3.596329e-07	1.240074e-04	780264402	6.020136e-05	
1.945426e+03	1	7.457265e-05	2023909660	3.264028e-07	1.240074e-04	3687573659	2.794299e-05	
